"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/14 5:12:35 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","More than 6 hours","Yes","Entertainment (videos, movies, music)","Joy","5","Not at all","Occasionally","Fair","Loss of appetite","Rarely","Very low","Still enjoy activities","Almost all the time","Yes","Yes","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Occasionally","Yes","I participate in online communities or forums"
"2023/10/14 5:14:24 PM GMT+6","I Agree","21","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","1","Almost all the time","Frequently","Poor","No changes","Occasionally","Moderate","Have lost interest","Frequently","Yes","No","Rarely","Yes","4-7 days","Improving productivity","No significant change","Yes","No","No change","FOMO (Fear of Missing Out)","Unplug from technology for a designated period","3","Never","Yes","I prefer to cope alone"
"2023/10/14 5:15:33 PM GMT+6","I Agree","21","Male","Student","More than 6 hours","Computer/Laptop","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Frustration","1","Almost all the time","Never","Very Poor","Increased appetite","Rarely","High","Still enjoy activities","Occasionally","No","No","Frequently","Yes","4-7 days","Feeling overwhelmed or stressed","No significant change","No","No","Used technology more mindfully","Difficulty staying disconnected","Set specific time limits for technology use","3","Rarely","Yes","I prefer to cope alone"
"2023/10/14 5:17:02 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Almost all the time","Frequently","Very Poor","Weight loss","Frequently","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Frequently","Yes","I seek support from friends or family"
"2023/10/14 5:17:08 PM GMT+6","I Agree","22","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Relaxation","5","Frequently","Almost all the time","Excellent","No changes","Rarely","Very low","Have lost interest","Rarely","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Never","Yes","I seek support from friends or family"
"2023/10/14 5:22:54 PM GMT+6","I Agree","21","Male","Student","More than 6 hours","Computer/Laptop","Occasionally","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Joy","5","Frequently","Rarely","Good","Weight loss","Occasionally","Very High","Still enjoy activities","Rarely","No","Yes","Rarely","Yes","1-3 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology less","Social pressure to stay connected","Take short breaks from screens","1","Frequently","Yes","I prefer to cope alone"
"2023/10/14 5:25:39 PM GMT+6","I Agree","22","Male","Student","5-6 hours","Computer/Laptop","Occasionally","Often","Yes","Once a day","Less than 1 hour","Yes","News and information","Relaxation","2","Occasionally","Occasionally","Fair","No changes","Rarely","Moderate","Still enjoy activities","Frequently","No","No","Rarely","Yes","More than a week","Focusing on in-person relationships","Relaxed and refreshed","Yes","No","Used technology more mindfully","None, it was easy and enjoyable","Unplug from technology for a designated period","4","Occasionally","Yes","I seek support from friends or family"
"2023/10/14 5:28:41 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","I usually chat a lot","Relaxation","1","Almost all the time","Almost all the time","Poor","Loss of appetite","Occasionally","Very low","Have lost interest","Frequently","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","1","Occasionally","No","I prefer to cope alone"
"2023/10/14 6:17:35 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","2","Frequently","Frequently","Fair","Loss of appetite","Rarely","Moderate","Have lost interest","Occasionally","Yes","Yes","Frequently","No","1-3 days","I have never practiced digital detox","Anxious or stressed","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/14 6:29:41 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Frequently","Frequently","Excellent","Weight gain","Rarely","Low","Have lost interest","Frequently","Yes","No","Rarely","Yes","More than a week","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","No change","Social pressure to stay connected","Take short breaks from screens","4","Never","No","I prefer to cope alone"
"2023/10/14 6:37:21 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Occasionally","Often","Yes","Once a day","Less than 1 hour","No","Educational content","Excitement","3","Occasionally","Rarely","Good","Increased appetite","Occasionally","Moderate","Still enjoy activities","Occasionally","Yes","Yes","Occasionally","Yes","1-3 days","Focusing on in-person relationships","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Take short breaks from screens","4","Rarely","Yes","I seek support from friends or family"
"2023/10/14 6:44:45 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Rarely","Good","No changes","Never","High","Still enjoy activities","Occasionally","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","4","Never","Yes","I seek support from friends or family"
"2023/10/14 6:46:12 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Smartphone","Always","Often","Yes","Multiple times a day","5-6 hours","Yes","Entertainment (videos, movies, music)","Anxiety","1","Almost all the time","Almost all the time","Very Poor","Weight gain","Almost all the time","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","Yes","1-3 days","Feeling overwhelmed or stressed","No significant change","No","Yes","No change","Difficulty staying disconnected","Engage in outdoor activities","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 6:54:35 PM GMT+6","I Agree","23 years","Female","Student","3-4 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Educational content","Stress","3","Frequently","Rarely","Poor","Loss of appetite","Occasionally","Moderate","Have lost interest","Almost all the time","No","Yes","Rarely","Yes","1-3 days","Improving productivity","No significant change","Yes","No","Used technology more mindfully","Difficulty staying disconnected","Unplug from technology for a designated period","4","Rarely","Yes","I attend social events or gatherings"
"2023/10/14 6:55:20 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Computer/Laptop","Always","Rarely","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Almost all the time","Occasionally","Fair","Increased appetite","Almost all the time","Low","Have lost interest","Frequently","Yes","Yes","Frequently","Yes","More than a week","Feeling overwhelmed or stressed","Anxious or stressed","No","No","No change","None, it was easy and enjoyable","Practice mindfulness or meditation","3","Frequently","No","I prefer to cope alone"
"2023/10/14 6:55:34 PM GMT+6","I Agree","22+","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Rarely or never","1-2 hours","Yes","Educational content","Joy","3","Occasionally","Rarely","Excellent","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Frequently","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Engage in outdoor activities","4","Frequently","Yes","I prefer to cope alone"
"2023/10/14 6:56:30 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Anxiety","2","Frequently","Frequently","Fair","No changes","Occasionally","Low","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","Less than a day","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","No change","Boredom","Take short breaks from screens","3","Never","Yes","I seek support from friends or family"
"2023/10/14 6:57:52 PM GMT+6","I Agree","20","Male","Student","3-4 hours","Computer/Laptop","Always","Never","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Anxiety","3","Occasionally","Occasionally","Good","No changes","Rarely","Moderate","Have lost interest","Occasionally","Yes","No","Occasionally","Yes","More than a week","Improving productivity","No significant change","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Take short breaks from screens","3","Never","No","I prefer to cope alone"
"2023/10/14 6:59:39 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Excitement","2","Frequently","Almost all the time","Poor","Weight gain","Almost all the time","Moderate","Have lost interest","Occasionally","Yes","Yes","Frequently","Yes","Less than a day","Focusing on in-person relationships","Anxious or stressed","No","No","Used technology more mindfully","Social pressure to stay connected","Talk to friends or family about technology-related stress","3","Rarely","Yes","I prefer to cope alone"
"2023/10/14 7:02:19 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Computer/Laptop","Often","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Stress","1","Frequently","Frequently","Fair","Weight loss","Occasionally","Moderate","Have lost interest","Almost all the time","Yes","Yes","Occasionally","Yes","Less than a day","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Never","Yes","I prefer to cope alone"
"2023/10/14 7:25:33 PM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Frustration","3","Occasionally","Frequently","Very Poor","No changes","Almost all the time","Very low","Still enjoy activities","Almost all the time","No","Yes","Occasionally","Yes","More than a week","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Unplug from technology for a designated period","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 7:54:16 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Rarely","Fair","Weight loss","Never","Moderate","Still enjoy activities","Rarely","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Rarely","No","I prefer to cope alone"
"2023/10/14 8:48:44 PM GMT+6","I Agree","21","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Frequently","Frequently","Poor","Loss of appetite","Rarely","Low","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","Less than a day","Feeling overwhelmed or stressed","No significant change","No","No","No change","Difficulty staying disconnected","Take short breaks from screens","3","Never","No","I prefer to cope alone"
"2023/10/14 9:03:36 PM GMT+6","I Agree","24","Male","Student","3-4 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Frequently","Frequently","Fair","No changes","Occasionally","Moderate","Still enjoy activities","Frequently","Yes","No","Frequently","Yes","Less than a day","Feeling overwhelmed or stressed","Anxious or stressed","No","No","No change","Social pressure to stay connected","Engage in outdoor activities","3","Frequently","Yes","I prefer to cope alone"
